[OBJECTS]
7	352	3	10	32	1
7	352	3	10	32	1
# MARIO
0	140.0	40.0	1
#Ground
5	128	160	1	192
5	256	144	1	32
5	272	128	1	32
5	288	112	1	32
5	304	96	1	32
5	320	80	1	32
5	336	64	1	64
5	384	32	1	32
5	384	48	1	32
5	160	0	1	192
#
5	96	0	1	32
5	96	16	1	32
5	96	32	1	32
5	96	48	1	32
5	96	64	1	32
5	96	80	1	32
5	96	96	1	32
5	96	112	1	32
5	96	128	1	32
5	96	144	1	32
#
5	352	16	1	32
# Items
#11	208	24	12	4
11	224	24	12	4
11	240	24	12	4
#
11	208	40	12	4
11	256	40	12	4
#
11	256	56	12	4
#
11	224	72	12	4
11	240	72	12	4
#
11	256	88	12	4
#
11	208	104	12	4
11	256	104	12	4
#
11	224	120	12	4
11	240	120	12	4
# ---- fire bullet	----
4	-100	0	4
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	360	0	1	375	35	1
