[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 4 = fire bullets, 5 = Ground, 7 = tube, 8 = question brick
#tube
7	848	368	10	64	1
# MARIO
# start
0	100	300	1
#Ground
5	0	416	1	1024
#brick
1	624	176	2
#mushroom
11	624	176	12	5
#coin				
11	176	352	12	4
11	208	352	12	4
11	240	352	12	4
11	272	352	12	4
#
11	192	336	12	4
11	224	336	12	4
11	256	336	12	4
#
11	352	352	12	4
11	368	352	12	4
11	384	352	12	4
#
11	336	336	12	4
11	352	336	12	4
11	368	336	12	4
11	384	336	12	4
#
11	480	352	12	4
11	496	352	12	4
11	512	352	12	4
11	528	352	12	4
#
11	496	336	12	4
11	512	336	12	4
11	528	336	12	4
#
11	640	352	12	4
11	656	352	12	4
11	672	352	12	4
#
11	624	336	12	4
11	640	336	12	4
11	656	336	12	4
11	672	336	12	4
#
11	768	352	12	4
11	784	352	12	4
11	800	352	12	4
11	816	352	12	4
#
11	784	336	12	4
11	800	336	12	4
11	816	336	12	4
#troi
11	608	128	12	4
11	624	128	12	4
11	640	128	12	4
#
11	592	144	12	4
11	608	144	12	4
11	640	144	12	4
11	656	144	12	4
#
11	576	160	12	4
11	592	160	12	4
11	656	160	12	4
11	672	160	12	4
#
11	576	176	12	4
11	672	176	12	4
#
11	576	192	12	4
11	592	192	12	4
11	656	192	12	4
11	672	192	12	4
#
11	592	208	12	4
11	608	208	12	4
11	640	208	12	4
11	656	208	12	4
#
11	608	224	12	4
11	624	224	12	4
11	640	224	12	4
#tube
7	848	368	10	32	60
# ---- fire bullet	----
4	-100	0	4
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	850	860	0	860	870	3
